question,ground_truth_answer,generated_answer
Courses to choose to become data scientist by pursuing masters in cs in umkc,"The University of Missouri-Kansas City (UMKC) offers a Master of Science in Data Science Analytics ([https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/master-of-science-data-science-analytics/](https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/master-of-science-data-science-analytics/)) program that is designed to prepare students for careers in data science. The program is a great option for students with a background in computer science who want to gain the skills and knowledge necessary to become data scientists.

**Here are the courses you should choose to become a data scientist by pursuing a Master of Science in Computer Science (MS CS) with a Data Science emphasis at UMKC:**

* **Required Courses (15 credit hours)**
    * COMP-SCI 5530: Principles of Data Science (3 credit hours) - This course introduces students to the fundamental concepts of data science, including data collection, cleaning, analysis, and visualization.
    * COMP-SCI 5540: Principles of Big Data Management (3 credit hours) - This course covers the concepts and techniques for managing big data, including data storage, processing, and analysis.
    * COMP-SCI 5565: Introduction to Statistical Learning (3 credit hours) - This course provides an introduction to statistical learning methods, including linear regression, classification, and clustering.
    * COMP-SCI 5567: Deep Learning (3 credit hours) - This course covers the concepts and techniques of deep learning, a type of artificial intelligence that has been successful in a variety of applications.
    * COMP-SCI 5588: Data Science Capstone (3 credit hours) - The capstone course allows students to apply their knowledge and skills to a real-world data science project.

* **Elective Courses (15 credit hours)**

You will have the opportunity to choose 15 credit hours of elective courses from a wide range of options. Here are some courses that are particularly relevant to data science:

    * COMP-SCI 5525: Cloud Computing (3 credit hours) - This course covers the concepts and techniques of cloud computing, which is a popular platform for storing and processing big data.
    * COMP-SCI 5542: Big Data Analytics and Applications (3 credit hours) - This course provides an in-depth exploration of big data analytics techniques and their applications in various domains.
    * MATH 5545: Mathematical Methods in Data Science (3 credit hours) - This course covers the mathematical foundations of data science, including linear algebra, probability, and statistics.
    * MIS 5507: Business Analytics and Statistics (3 credit hours) - This course introduces students to the concepts and techniques of business analytics, which is a field that is closely related to data science.
    * MIS 5557: Data Management and Data Mining for Business Analytics (3 credit hours) - This course covers the concepts and techniques for data management and data mining, which are essential skills for data scientists.
    * STAT 5501: Statistical Design Of Experiments (3 credit hours) - This course covers the design and analysis of experiments, which is an important skill for data scientists who want to be able to draw causal inferences from data.
    * STAT 5561: Time Series Analysis (3 credit hours) - This course covers the analysis of time series data, which is a type of data that is collected over time.

**Additional Tips**

* In addition to the coursework, it is also important to gain experience in data science through internships or personal projects.
* Consider participating in data science hackathons or competitions.
* Network with other data scientists and professionals in the field.

By following these tips, you can increase your chances of success in becoming a data scientist.","Hello! I'm happy to help you explore your options for becoming a data scientist through our Master of Science in Computer Science (MSCS) program at UMKC. Here's some helpful information based on your query:

MSCS Degree Program: The MSCS program at UMKC is open to both full-time and part-time students and admits both domestic and international students. The program offers two academic options: Thesis and Non-Thesis (Course) options.
Emphasis Areas: The MSCS program has four Emphasis Areas: Software Engineering & Systems, Data Science, Networking & Telecommunications, and Cybersecurity. You can choose an emphasis area that aligns with your interests and career goals.
Coursework: The MSCS program requires 30 credit hours of coursework, which includes core and elective courses. You can view the course catalog to see the list of courses offered in the program.
BS/MS Option: UMKC offers a BS/MS option for students who want to complete both a BS in CS and a MS in CS in five years. This option allows you to complete both degrees simultaneously, which can be a great way to fast-track your career in computer science.
Minor in Computer Science: If you're interested in pursuing a minor in Computer Science, UMKC offers a minor program that can be completed alongside your MSCS degree. To answer your question directly, if you want to become a data scientist by pursuing a Master's degree in Computer Science at UMKC, here are the steps you can take:
Apply to the MSCS program at UMKC: You can submit your application through the University's website. Make sure to check the application deadlines and requirements before submitting your application.
Choose an Emphasis Area: Select an Emphasis Area that aligns with your career goals. Data Science is one of the popular Emphasis Areas that can help you develop expertise in data analysis, machine learning, and data visualization.
Complete Coursework: The MSCS program requires 30 credit hours of coursework, which includes both core and elective courses. You can choose courses that align with your Emphasis Area and interests.
Complete the MS Degree: Once you've completed your coursework, you'll need to complete a thesis or non-thesis project to graduate with your MS degree in Computer Science. By following these steps, you can gain the skills and knowledge needed to become a data scientist through UMKC's MSCS program. Good luck with your academic journey! Would you like me to answer any other questions you may have?"
Number of credits required to complete undergraduate in computer science in UMKC?,"The University of Missouri-Kansas City (UMKC) requires  **120 undergraduate credit hours** to complete a Bachelor of Science in Computer Science ([https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/bs-ms-computer-science/](https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/bs-ms-computer-science/)).

This information can be found on the UMKC website under the program description for the Bachelor of Science in Computer Science: ""[https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/bs-ms-computer-science/](https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/bs-ms-computer-science/)"". ","Hello! Thank you for reaching out to me. To answer your question, the number of credits required to complete an undergraduate degree in computer science at UMKC is 120 credits. This includes 30 credits from UMKC Essentials, 24 credits of transferable college credit, and 66 credits of computer science courses. Additionally, students must maintain a UMKC cumulative GPA of 3.00 or higher and complete the recommended curriculum for the program. I hope this helps! Let me know if you have any other questions."
Prerequisites for Data Science Capstone course in Masters in computer science at UMKC,"The specific prerequisites for the Data Science Capstone course (COMP-SCI 5588) in the Master of Science in Computer Science (MS CS) with a Data Science emphasis at UMKC aren't explicitly mentioned on the general program description webpage. 

However, based on the nature of the Capstone course and its placement within the program curriculum, here are some likely prerequisites:

* **Core Data Science Courses:**  You've likely completed the core data science courses offered in the program, which would likely include:
    * **COMP-SCI 5530: Principles of Data Science** (introduces fundamental data science concepts)
    * **COMP-SCI 5540: Principles of Big Data Management** (covers big data storage, processing, and analysis)
    * **COMP-SCI 5565: Introduction to Statistical Learning** (provides a foundation in statistical learning methods)
    * **COMP-SCI 5567: Deep Learning** (covers concepts and techniques in deep learning)

* **Programming Skills:**  Proficiency in programming languages commonly used in data science is likely expected. This might include Python or R. 

**Here's how to confirm the prerequisites:**

*  **UMKC Course Catalog:**  A more detailed course description for COMP-SCI 5588 might be available in the UMKC course catalog. Look for a section titled ""Prerequisites"" or ""Corequisites"" which will explicitly list the required courses before enrolling in the Capstone. You can find the course catalog here: [https://catalog.umkc.edu/](https://catalog.umkc.edu/)
* **Contact the CS Department:** If the course catalog description doesn't mention prerequisites, contacting the Computer Science department at UMKC is a good option. They can provide the most up-to-date information on course requirements. You can find the department contact information on the UMKC website.
","Thank you for reaching out! I'd be happy to help you with your inquiry about the prerequisites for the Data Science Capstone course in the Masters in Computer Science program at the University of Missouri-Kansas City (UMKC). To take the Data Science Capstone course (COMP-SCI 5588), you must have completed the following prerequisites:

COMP-SCI 5530: Principles of Data Science
COMP-SCI 5540: Principles of Big Data Management
COMP-SCI 5565: Introduction to Statistical Learning
COMP-SCI 5567: Deep Learning
In addition to these prerequisites, you must also meet the following requirements:

Have a cumulative GPA of at least 3.0 on a 4.0 scale
Have an undergraduate degree in Computer Science or Information Technology
Be admitted to the Masters in Computer Science program at UMKC
If you have any questions or concerns about these prerequisites or the admission process, please feel free to ask! I'm here to help."
List of courses to pursue in UMKC to become construction engineer,"The University of Missouri-Kansas City (UMKC) offers a Bachelor of Science in Civil Engineering program that prepares students for a career in construction engineering. The program curriculum includes a  broad range of courses in civil engineering fundamentals, as well as specialized courses in construction engineering.

Here's a list of courses you should consider to become a construction engineer by pursuing a Bachelor of Science in Civil Engineering at UMKC:

**General Engineering Courses**

*  **Calculus I, II, and III**
*  **Differential Equations**
*  **Linear Algebra**
*  **Statics**
*  **Mechanics of Materials**
*  **Fluid Mechanics**
*  **Structural Analysis**
*  **Geotechnical Engineering**
*  **Transportation Engineering**
*  **Water Resources Engineering**
*  **Environmental Engineering**

**Construction Engineering Courses**

*  **Construction Methods and Equipment**
*  **Construction Estimating and Scheduling**
*  **Construction Contracts and Specifications**
*  **Construction Project Management**
*  **Computer-Aided Design (CAD) for Construction**

**Additional Considerations**

*  **Electives:** In addition to the required courses, you may also want to consider taking elective courses in areas such as business, construction law, and sustainability.
*  **Internships:**  Internships can provide valuable experience in the construction industry and help you develop the skills you need to be successful in your career.

By taking these courses and gaining experience through internships, you will be well on your way to becoming a construction engineer.","Hello! I'm happy to help you explore your options for courses at UMKC to become a construction engineer. Based on your interest in Civil Engineering, here are some courses that may be of interest to you:

CIV-ENGR 111 - First Year Cornerstone: This course provides an overview of the diverse career opportunities available to civil engineers, with a focus on developing fundamental skills, knowledge, and resources necessary for identifying the most appropriate career path(s).
CIV-ENGR 210 - Structural Analysis: This course covers the fundamental principles of structural analysis, including linear and nonlinear analysis, stress and strain, and structural elements such as beams, columns, and frames.
CIV-ENGR 310 - Geotechnical Engineering: This course covers the fundamental principles of geotechnical engineering, including soil properties, site investigation, ground improvement, and foundation design.
CIV-ENGR 315 - Construction Management: This course provides an overview of the construction management process, including planning, scheduling, budgeting, and project control.
CIV-ENGR 410 - Water Resources Engineering: This course covers the fundamental principles of water resources engineering, including hydrology, hydraulics, and water supply systems.
CIV-ENGR 415 - Transportation Engineering: This course provides an overview of transportation engineering, including traffic flow, capacity, safety, and transportation planning.
CIV-ENGR 420 - Environmental Engineering: This course covers the fundamental principles of environmental engineering, including air and water pollution control, waste management, and environmental impact assessment.
CIV-ENGR 430 - Structural Mechanics: This course covers the fundamental principles of structural mechanics, including stress, strain, and structural analysis.
CIV-ENGR 440 - Materials Science: This course covers the fundamental principles of materials science, including materials properties, processing, and failure.
CIV-ENGR 450 - Construction Methods and Materials: This course provides an overview of construction methods and materials, including building design, construction techniques, and materials selection. These courses are just a few examples of the many courses available at UMKC for those interested in pursuing a career in construction engineering. It's important to note that some of these courses may have program-specific enrollment restrictions, so be sure to check the Pathway for specific course details. If you have any further questions or would like additional information, please feel free to ask!"
Can I pursue courses from Bloch school if I am a Computer Science student in UMKC?,"Yes, you likely can pursue courses from the Bloch School of Business and Management at UMKC even if you are a Computer Science student. Here's why:

* **UMKC Policy:** Most universities allow students to enroll in courses offered by other schools or departments within the same university, as long as they meet the course prerequisites.

* **Bloch School Course Offerings:** The Bloch School might offer courses relevant to computer science students, such as:
    * Business Analytics
    * Project Management
    * Technology Innovation and Management

* **UMKC Registration:**  The UMKC registration system should allow you to search and enroll in courses offered by the Bloch School, provided you meet the prerequisites. 

Here are some steps to confirm and proceed:

1. **Check Course Descriptions:**  Look for course descriptions in the Bloch School course catalog or department website. See if any courses  align with your interests and complement your computer science studies.

2. **Review Prerequisites:** Make sure you meet the prerequisites listed for any Bloch School course you'd like to take. These might include specific math or business foundation courses.

3. **Registration Process:**  During registration,  the UMKC system should allow you to search and enroll in courses from the Bloch School if there are no restrictions.

4. **Contacting an Advisor:**  If you're unsure about specific courses or have questions about prerequisites or restrictions, it's best to contact your computer science advisor or the Bloch School advising office. They can provide the most up-to-date information and guidance.
","Of course! As an international study abroad Bloch School student, you have the opportunity to take courses from the Bloch School, regardless of your field of study at UMKC. The Bloch School offers a wide range of graduate programs, including graduate certificates in areas such as business analytics, commercial real estate, health leadership, nonprofit management and innovation, technology innovation and management, and more. If you are interested in taking courses from the Bloch School, you should contact your academic advisor or the UMKC Study Abroad and Global Engagement Office to discuss your options and create a plan that meets your academic goals. They can provide you with more information on how to apply and register for courses, as well as any relevant deadlines or requirements. Remember, studying abroad can be a great way to broaden your horizons, gain new experiences, and expand your professional network. Good luck!"
What are the recommended courses for aspiring data scientists pursuing a Master's in Computer Science at UMKC?,"While UMKC doesn't offer a dedicated Master's in Data Science program, you can definitely tailor your Master's in Computer Science (MCS) towards a data science career path. Here are some recommended courses to consider:

**Core Data Science Courses:**

* **Machine Learning:** This course provides a foundation in algorithms and techniques used for building predictive models from data. Look for courses like ""Machine Learning"" or ""Statistical Learning"".
* **Data Mining:** This course delves into extracting knowledge and insights from large datasets. Look for courses like ""Data Mining"" or ""Knowledge Discovery in Databases"".
* **Statistics:** A strong foundation in statistical analysis is crucial for data science. Look for courses like ""Statistics and Probability"", ""Regression Analysis"", and ""Time Series Analysis"".
* **Database Management Systems:** Understanding how to store, manage, and query data efficiently is essential. Look for courses like ""Database Management Systems"" or ""SQL Programming"".

**Additional Specialized Courses:**

* **Big Data Processing:** This course covers techniques for handling large and complex datasets. Look for courses like ""Big Data Processing"" or ""Cloud Computing for Data Science"".
* **Natural Language Processing (NLP):** This course focuses on processing and analyzing textual data. Look for courses like ""Natural Language Processing"" or ""Text Mining"".
* **Computer Vision:** This course explores techniques for analyzing and extracting information from images and videos. Look for courses like ""Computer Vision"" or ""Image Processing"".

**Beyond Coursework:**

* **Research Opportunities:** Look for opportunities to participate in research projects with faculty focused on data science or related fields.
* **Internships:** Consider internships with companies that utilize data science heavily. This will provide practical experience and strengthen your resume.
* **Kaggle Competitions:** Participating in data science competitions on platforms like Kaggle can be a great way to apply your skills and learn from others.

**Resources:**

* **UMKC Master's in Computer Science:** [https://www.umkc.edu/commencement/](https://www.umkc.edu/commencement/)
* **UMKC Computer Science Department:** [https://sse.umkc.edu/about-us/computer-science-and-information-technologydirectory.html](https://sse.umkc.edu/about-us/computer-science-and-information-technologydirectory.html)

Remember, this is just a general recommendation. It's best to consult with the UMKC Computer Science department's academic advisor to create a personalized course plan that aligns with your specific interests and career goals within data science.
",What are the recommended courses for aspiring data scientists pursuing a Master's in Computer Science at UMKC?
How many credits are typically required to complete an undergraduate degree in Computer Science at UMKC?,"A Bachelor's degree in Computer Science typically requires around 120 credits at UMKC. This information can be found on the UMKC website [here](https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/bs-ms-computer-science/).
","Hello! I'm happy to help you with your question. To answer your question, the typical number of credits required to complete an undergraduate degree in Computer Science at UMKC is 120 credit hours. This includes 30 credit hours of UMKC coursework prior to admission to the BS/MS program, as well as 90 credit hours of upper-division coursework after admission to the program. However, please note that this may vary depending on your individual academic plan and any transfer credits you may have. Would you like more information on this or any other aspect of the Computer Science program at UMKC?"
What are the prerequisites for enrolling in the Data Science Capstone course within the Master's in Computer Science program at UMKC?,"While the UMKC website doesn't explicitly state the prerequisites for the Data Science Capstone course (COMP-SCI 5588) within the Master's in Computer Science program, we can glean some insights from the available information:

* **Master of Science: Data Science Analytics:** This program, heavily focused on data science, lists COMP-SCI 5588 as part of its curriculum. It requires students to have completed a Bachelor's in Computer Science or Information Technology, suggesting that these fields provide a strong foundation for the capstone course.
* **COMP-SCI 5588 Course Description:** The course description itself doesn't mention specific prerequisites. However, its title ""Data Science Capstone"" implies that it likely builds upon knowledge gained in previous data science courses.

Therefore, it's safe to assume that the following would be recommended prerequisites for the Data Science Capstone course:

* **Prior coursework in Data Science:** Look for courses like ""Principles of Data Science"" (COMP-SCI 5530) or ""Introduction to Statistical Learning"" (COMP-SCI 5566) within the Master's in Computer Science program.
* **Strong foundation in Computer Science:** A Bachelor's degree in Computer Science or a related field would provide the necessary programming and computational thinking skills.

Here are some resources to confirm the prerequisites:

* **Master of Science: Data Science Analytics:** [https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/master-of-science-data-science-analytics/](https://catalog.umkc.edu/colleges-schools/science-engineering/computer-science/master-of-science-data-science-analytics/)
* **Computer Science (COMP-SCI) Course Descriptions:** [https://catalog.umkc.edu/course-offerings/graduate/comp-sci/](https://catalog.umkc.edu/course-offerings/graduate/comp-sci/)

It's always recommended to consult with the UMKC Computer Science department or the course instructor directly to confirm the exact prerequisites before enrolling. 
","Hello! I'm happy to help you with your question. The prerequisites for enrolling in the Data Science Capstone course within the Master's in Computer Science program at UMKC are as follows:

Students must have completed all core requirements for the Master's in Computer Science program.
Students must have completed COMP-SCI 5565 Introduction to Statistical Learning and COMP-SCI 5567 Deep Learning before enrolling in the Data Science Capstone course.
Students must have a minimum cumulative GPA of 3.0 in all graduate coursework. If you have any other questions or concerns, please feel free to ask!"
Can you provide a list of courses offered at UMKC that are relevant for individuals aspiring to become construction engineers?,"While UMKC doesn't offer a dedicated Construction Engineering program, the Civil Engineering program provides a strong foundation for individuals aspiring to become construction engineers. Here are some relevant courses offered at UMKC:

**Undergraduate Courses:**

* **CIV-ENGR 111 First Year Cornerstone:** Introduces students to the field of civil engineering and its various specializations, including construction.
* **CIV-ENGR 275 Engineering Statics:** Provides the fundamental principles of mechanics for analyzing forces and their effects on structures.
* **CIV-ENGR 276 Strength of Materials:** Studies the behavior of materials under stress and strain, crucial for understanding structural design.
* **CIV-ENGR 321 Structural Analysis:** Analyzes the behavior of structural elements under various loads.
* **CIV-ENGR 323 Structural Steel Design:** Focuses on the design of steel structures used in buildings and bridges.
* **CIV-ENGR 335 Soil Mechanics:** Studies the behavior of soil and its application in foundation design.
* **CIV-ENGR 351 Fluid Mechanics:**  Provides the fundamental principles of fluid flow, relevant for water and wastewater systems in construction.

**Graduate Courses:**

* **Engineering and Construction Project Management Certificate:** This specialized certificate program delves deeper into project management specific to construction projects, including:
    * **CIV-ENGR 5568 Construction Planning and Scheduling:** Focuses on planning and scheduling construction activities efficiently.
    * **CIV-ENGR 5504 Project Management of Integrated Design and Construction:**  Explores project management practices for coordinating design and construction phases.
    * **CIV-ENGR 5506 Construction Project Risk Management:**  Analyzes and mitigates risks associated with construction projects.

**Additional Resources:**

* **Civil Engineering Undergraduate Programs:** [https://sse.umkc.edu/academics/programs/civil-engineering.html](https://sse.umkc.edu/academics/programs/civil-engineering.html)
* **Civil Engineering (CIV-ENGR) Course Descriptions:** [https://catalog.umkc.edu/course-offerings/undergraduate/civ-engr/](https://catalog.umkc.edu/course-offerings/undergraduate/civ-engr/)

It's important to note that licensure as a Professional Engineer (PE) may be required for certain construction engineering roles. While a Bachelor's in Civil Engineering provides a strong foundation, additional experience and passing the PE exam are typically necessary for licensure.
","Of course! I'd be happy to help you find the courses relevant for your aspiration to become a construction engineer at UMKC. Based on your query, I have identified the following courses that may be relevant for your academic pursuits:

CIV-ENGR 111 - First Year Cornerstone: This course provides an exploration of diverse career opportunities in civil engineering, with a focus on providing students with fundamental skills, knowledge, and resources to identify appropriate career paths.
CIV-ENGR 211 - Engineering Mechanics I: This course covers the fundamental principles of engineering mechanics, including statics and dynamics, with an emphasis on problem-solving and analysis.
CIV-ENGR 212 - Engineering Materials: This course introduces students to the properties and applications of engineering materials, including metals, concrete, and composites.
CIV-ENGR 213 - Structural Analysis: This course covers the fundamental principles of structural analysis, including loadings, stability, and design methods for buildings and other structures.
CIV-ENGR 214 - Geotechnical Engineering: This course focuses on the behavior of soils and foundations, including site investigation, soil properties, and design methods for shallow and deep foundations.
CIV-ENGR 311 - Transportation Engineering: This course covers the principles of transportation engineering, including traffic flow, capacity, safety, and design of highways, streets, and interchanges.
CIV-ENGR 312 - Water Resources Engineering: This course introduces students to the principles of water resources engineering, including hydrology, water supply, and wastewater treatment.
CIV-ENGR 313 - Construction Management: This course covers the principles of construction management, including project management, construction methods, and quality control.
CIV-ENGR 314 - Building Information Modeling (BIM): This course introduces students to the principles of building information modeling, including 3D modeling, data management, and collaboration tools for construction projects. These courses are offered through UMKC's Civil Engineering Program, which has faculty members who are active in research with funding from numerous local and national industries and government agencies. The program offers specialty areas such as Water and Environmental Engineering, Structural Engineering, Geotechnical and Materials Engineering, and Construction Management. For more information on these courses and the Civil Engineering program at UMKC, please visit their website at http://sse.umkc.edu. I hope this helps you in your academic pursuits! If you have any further questions or would like more information, please don't hesitate to ask."
"Is it possible for Computer Science students at UMKC to take courses offered by the Bloch School? If so, what are the available options?","Yes, Computer Science students at UMKC can take courses offered by the Bloch School. Here's what you need to know:

* **Openness:** UMKC generally encourages cross-disciplinary studies, allowing students to explore courses outside their major.
* **Prerequisites:**  While most Bloch School courses are open to all UMKC students, some may have specific prerequisites like introductory business or economics courses. 
* **Course Selection:**  The Bloch School offers various courses relevant to computer science students, including:
    * **Business Analytics:** Courses focusing on data analysis and visualization, which complement computer science skills.
    * **Information Systems (IS):** Courses exploring the design, implementation, and management of information systems, valuable for understanding technology in business contexts.
    * **Entrepreneurship:** Courses providing insights into starting and managing technology-driven businesses.

Here are some resources to explore further:

* **Bloch School Course Catalog:** [invalid URL removed]
* **UMKC Academic Advising:** It's recommended to consult with your Computer Science advisor to discuss specific course options that align with your interests and career goals. They can help you navigate prerequisites and ensure the chosen courses fit within your degree requirements.

Remember, while there might not be restrictions on enrolling, some courses may require foundational knowledge in business or economics. It's always best to check the course descriptions and prerequisites carefully before registering.
","Hello! I'm here to help you with your question. Yes, it is possible for Computer Science students at UMKC to take courses offered by the Bloch School. In fact, there are several options available for Computer Science students who want to explore courses outside of their own department. Firstly, Bloch School offers a Graduate Certificate in Business Analytics that is specifically designed for Computer Science students who want to gain practical experience in data analysis and business intelligence. This certificate program consists of 12 credit hours and covers topics such as data mining, predictive analytics, and business intelligence. Secondly, Bloch School also offers a range of elective courses that Computer Science students can take to broaden their knowledge and skills. These courses cover topics such as entrepreneurship, innovation management, and leadership, among others. Finally, Bloch School has a unique BS/MS program that allows Computer Science students to complete both their undergraduate and master's degrees in a shorter period of time. This program is designed for students who want to accelerate their academic progress and gain a competitive edge in the job market. In summary, Computer Science students at UMKC have several options available to them when it comes to taking courses offered by the Bloch School. These options include graduate certificate programs, elective courses, and the BS/MS program. I hope this information helps you make an informed decision!"
